Species	Family	Area.Km2	Distribution	long.min	long.max	lat.min	lat.max	Long.average	Dif.Long	Lat.average	Area.Km2	Area	Dif.Lat	N.ecoregions	Ecoregion																	
Amphibolis antarctica	Cymodoceaceae	757850,8368	Temperate	112,0127412	149,3788755	-43,34695928	-23,89831491	130,6958084	37,3661343	-33,6226371	757850,8368	7,578508368	19,44864437	8	Bassian,Cape Howe,Great Australian Bight,Houtman,Leeuwin,Shark Bay,South Australian Gulfs,Western Bassian																	
Amphibolis griffithii	Cymodoceaceae	482249,6637	Temperate	112,6867373	139,510764	-37,19934837	-27,19505566	126,0987507	26,8240267	-32,19720202	482249,6637	4,822496637	10,00429271	6	Great Australian Bight,Houtman,Leeuwin,Shark Bay,South Australian Gulfs,Western Bassian																	
Cymodocea angustata	Cymodoceaceae	247883,9637	Tropical	112,0127412	124,4780579	-26,74462408	-15,2740483	118,2453996	12,4653167	-21,00933619	247883,9637	2,478839637	11,47057578	4	Bonaparte Coast,Exmouth to Broome,Ningaloo,Shark Bay																	
Cymodocea nodosa	Cymodoceaceae	2263703,72	Temperate	-26,25706277	36,21897125	13,08615459	45,79730606	4,98095424	62,47603402	29,44173033	2263703,72	22,6370372	32,71115147	12	Azores Canaries Madeira,Black Sea,Cape Verde,Saharan Upwelling,South European Atlantic Shelf,Sahelian Upwelling,Adriatic Sea,Levantine Sea,Tunisian Plateau/Gulf of Sidra,Ionian Sea,Aegean Sea,Alboran Sea,Western Mediterranean																	
Cymodocea rotundata	Cymodoceaceae	14050491,67	Tropical	31,27805463	173,0603178	-29,53022788	32,4814148	102,1691862	141,7822632	1,47559346	14050491,67	140,5049167	62,01164268	33	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Central Kuroshio Current,Central Somali Coast,Coral Sea,Delagoa,East Caroline Islands,East China Sea,Eastern India,Eastern Philippines,Exmouth to Broome,Gulf of Aden,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Lesser Sunda,Malacca Strait,Maldives,Marshall Islands,Mascarene Islands,Natal,New Caledonia,Northeast Sulawesi,Northern and Central Red Sea,Northern Bay of Bengal,Palawan/North Borneo,Papua,Seychelles,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Madagascar,Southeast Papua New Guinea,Southern China,Southern Red Sea,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Tweed-Moreton,Vanuatu,West Caroline Islands,Western and Northern Madagascar,Western India,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Enhalus acoroides	Hydrocharitaceae	11937895,16	Tropical	32,34133148	169,8521729	-23,69658358	34,719212	101,0967522	137,5108414	5,51131421	11937895,16	119,3789516	58,41579558	35	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Central Kuroshio Current,Central Somali Coast,Coral Sea,East Caroline Islands,East China Sea,Eastern India,Eastern Philippines,Exmouth to Broome,Gulf of Aden,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Lesser Sunda,Malacca Strait,Maldives,Mariana Islands,New Caledonia,Northeast Sulawesi,Northern and Central Red Sea,Northern Bay of Bengal,Palawan/North Borneo,Papua,Sea of Japan/East Sea,Seychelles,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Papua New Guinea,Southern China,Southern Red Sea,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Vanuatu,West Caroline Islands,Western Arabian Sea,Western India,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Halodule bermudensis	Cymodoceaceae	32171,15376	Temperate	-65,79436485	-63,75367761	31,34731721	33,29315519	-64,77402123	2,04068724	32,3202362	32171,15376	0,321711538	1,94583798	1	Bermuda																	
Halodule ciliata	Cymodoceaceae	8921,990845	Tropical	-79,80619918	-78,82811784	8,0073119	9,00265453	-79,31715851	0,97808134	8,504983215	8921,990845	0,089219908	0,99534263	1	Panama Bight																	
Halodule emarginata	Cymodoceaceae	194122,2382	Tropical	-46,24581436	-37,4874572	-24,60531024	-12,36661997	-41,86663578	8,75835716	-18,48596511	194122,2382	1,941222382	12,23869027	3	Eastern Brazil,Northeastern Brazil,Southeastern Brazil																	
Halodule pinifolia	Cymodoceaceae	11501951,52	Tropical	78,903809	185	-27,94647755	34,77674601	131,9519045	106,096191	3,41513423	11501951,52	115,0195152	62,72322356	47	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Central Kuroshio Current,Coral Sea,East Caroline Islands,East China Sea,Eastern India,Eastern Philippines,Exmouth to Broome,Fiji Islands,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Houtman,Lesser Sunda,Malacca Strait,Mariana Islands,New Caledonia,Ningaloo,Northeast Sulawesi,Northern Bay of Bengal,Palawan/North Borneo,Papua,Sea of Japan/East Sea,Shark Bay,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Papua New Guinea,Southern China,Southern Vietnam,Sulawesi Sea/Makassar Strait,Tweed-Moreton,Vanuatu,West Caroline Islands,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Halodule uninervis	Cymodoceaceae	15062710,65	Tropical	-29,442912	182	-32,89761295	32,64549554	76,278544	211,442912	-0,126058705	15062710,65	150,6271065	65,54310849	52	Andaman and Nicobar Islands,Andaman Sea Coral Coast,Arabian (Persian) Gulf,Arnhem Coast to Gulf of Carpenteria,Arafura Sea,Banda Sea,Bismarck Sea,Bonaparte Coast,Cargados Carajos/Tromelin Island,Central Kuroshio Current,Central Somali Coast,Coral Sea,Delagoa,East Caroline Islands,East China Sea,Eastern India,Eastern Philippines,Exmouth to Broome,Fiji Islands,Gulf of Aden,Gulf of Oman,Gulf of Papua,Gulf of Thailand,Gulf of Tonkin,Halmahera,Houtman,Leeuwin,Lesser Sunda,Malacca Strait,Maldives,Mariana Islands,Mascarene Islands,Natal,New Caledonia,Ningaloo,Northeast Sulawesi,Northern and Central Red Sea,Northern Bay of Bengal,Palawan/North Borneo,Papua,Seychelles,Shark Bay,Solomon Archipelago,Solomon Sea,South China Sea Oceanic Islands,South India and Sri Lanka,South Kuroshio,Southeast Madagascar,Southeast Papua New Guinea,Southern China,Southern Red Sea,Southern Vietnam,Sulawesi Sea/Makassar Strait,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Tweed-Moreton,Vanuatu,West Caroline Islands,Western and Northern Madagascar,Western Arabian Sea,Western India,Southern Java,Western Sumatra,Torres Strait Northern Great Barrier Reef,Central and Southern Great Barrier Reef,Sunda Shelf/Java Sea																	
Halodule wrightii	Cymodoceaceae	6048339,903	Tropical	-114,9606781	91,50876079	-28,52336982	35,50604248	-11,72595866	206,4694389	3,49133633	6048339,903	60,48339903	64,0294123	44	Bahamian,Bermuda,Carolinian,Chiapas-Nicaragua,Cortezian,Delagoa,Eastern Brazil,Eastern Caribbean,Eastern India,Fernando de Naronha and Atoll das Rocas,Floridian,Guianan,Gulf of Guinea Central,Gulf of Guinea Islands,Gulf of Guinea Upwelling,Gulf of Guinea West,Gulf of Oman,Mascarene Islands,Mexican Tropical Pacific,Natal,Nicoya,Northeastern Brazil,Northern Bay of Bengal,Northern Gulf of Mexico,Panama Bight,Saharan Upwelling,South India and Sri Lanka,Southeast Madagascar,Southeastern Brazil,Southern Caribbean,Southern Gulf of Mexico,Southwestern Caribbean,East African Coral Coast,Northern Monsoon Current Coast,Bight of Sofala/Swamp Coast,Virginian,Western and Northern Madagascar,Western Arabian Sea,Western Caribbean,Greater Antilles,Gulf of Guinea South,Angolan,Sahelian Upwelling																	
Halophila australis	Hydrocharitaceae	656886,1118	Temperate	114,0769046	150,0236139	-41,41110992	-29,81453581	132,0502593	35,9467093	-35,61282287	656886,1118	6,568861118	11,59657411	7	Bassian,Cape Howe,Great Australian Bight,Houtman,Leeuwin,South Australian Gulfs,Western Bassian																	
Halophila baillonis	Hydrocharitaceae	174836,4226	Tropical	-88,99104309	-33,90492168	-8,39135432	25,4466866	-61,44798239	55,08612141	8,52766614	174836,4226	1,748364226	33,83804092	9	Bahamian,Eastern Caribbean,Floridian,Guianan,Northeastern Brazil,Southern Caribbean,Southwestern Caribbean,Western Caribbean,Greater Antilles																	
